,mol_index,smile_list
127,[165  69  85 184],CC[C@@H](C)[C@@H]([NH]C(=O)[C@H](C[C@H](C)C(=O)[NH][C@H](CO)/C(=C\C(=O)[NH]/C(=C\CCN)C(O)=O)OC)[NH2]C)c1nc(C(O)=O)cs1
128,[ 21  80  62 142],CCC[C@@H]([NH]C(=O)/C(N)=C/CCN)[C@@H](C)C(=O)[NH][C@H](CSC)C(=O)[NH][C@H](CO)/C(=C\C(O)=O)OC
129,[155  67  38 179],CCC[C@@H]([NH]C(=O)/C=C/[C@H](CO)[NH]C(=O)[C@H](C)[C@@H](O)[C@@H](C)N)[C@H](C)C(=O)[NH][C@H]([C@@H](C)CC)[C@@H](O)CC(O)=O
130,[ 43  43 151 208],C/C=C(\[NH]C(=O)[C@@H](N)CCCNO)C(=O)[NH][C@H](C(=O)[NH](C)[C@H](C(O)=O)[C@H](C)C(C)C)[C@H](O)CC(=O)O
131,[139 219 120  51],C=CC(C)(C)OC[C@H](N)C(=O)[NH]1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)[NH](C)CC(=O)[NH]c1c(O)cccc1C(O)=O
132,[ 61 191  36 181],CSCC[C@H]([NH]C(=O)[C@@H](O)[C@@H](N)C(=O)[NH]Cc1nc(C(=O)[NH][C@@H](C(O)=O)[C@H](O)C(C)C)cs1)C(O)=O
133,[216 160  39 164],C=CC(C)(C)OC[C@H]([NH]C(=O)/C=C\[C@@H](N)CC(C)C)C(=O)[NH]1NCCC[C@@H]1C(=O)[NH][C@H](C)c1nc(C(O)=O)cs1
134,[147  18 130 110],C[NH2][C@@H](CC(=O)[NH]c1ccc(O)cc1C(=O)[NH]/C=C\C(=O)[NH](C)[C@H](/C=C(\C)C(O)=O)C(C)C)C(O)=O
135,[ 45  23 128 143],C[C@H](C(=O)[NH][C@H](C)C(=O)C(C)(C)C(O)=O)[C@H]([NH]C(=O)[C@H](C)[C@@H](O)[C@@H]1CCC[NH]1C(=O)/C=C\[C@@H](N)CO)C(O)=O
136,[121  84  38  31],CC[C@@H](C)[C@@H]([NH]C(=O)[C@@H](CC(=O)N[C@]([NH2]C)(C(O)=O)C(C)C)[NH]C(=O)[C@H]1C[C@H](Cl)CN[NH2]1)c1nc(C(O)=O)cs1
137,[72 60 17 31],C/C=C(\[NH]C(=O)C(=O)[C@@H]([NH]C(=O)C(O)[NH](C)C(=O)[C@H]([NH2]C)[C@@H](C)CC)[C@@H](C)CC)C(O)=O
