,mol_index,smile_list
29,[ 31 155  25 118],CSCC[C@@H]([NH]C(=O)[C@H]([NH]C(=O)C(C)(C)C(=O)[C@@H](C)N)[C@H](O)C(C)C)C(=O)[NH][C@@H](C(O)=O)[C@@H](C)CC(=O)O
30,[  5  29 100  14],CCC[C@H](CC(=O)[NH][C@H](CCC(C)C)[C@@H](O)C(O)=O)[NH]C(=O)C[C@H](O)[C@H]([NH]C(=O)[C@@H](N)[C@@H](C)c1ccccc1)[C@@H](C)CC
31,[ 54  89 177 153],CC[C@H](C)[C@H]([NH2]C)C(=O)[NH][C@@H](Cc1ccccc1O)C(=O)[NH]C[C@H](C)C(=O)[NH]c1ccccc1C(O)=O
32,[ 71 204  14  18],CC/C=C(/N)C(=O)[NH]1CCC=C1C(=O)[NH][C@H](C(=O)[NH][C@@H](Cc1ccccc1O)C(O)=O)[C@H](O)C(=O)O
33,[ 54  74 134  22],C[NH2][C@@](NC(=O)[C@@H](N)CCCN)(C(=O)[NH](C)[C@H](SC)C(=O)[NH][C@@H](Cc1ccoc1)C(O)=O)C(C)C
34,[149 208 163  35],C[NH](C(=O)/C=C\[C@H](CO)[NH]C(=O)[C@H](O)CN)[C@@H](Cc1ccc(O)cc1)C(=O)[NH][C@@H](Cc1ccoc1)C(O)=O
35,[214  83 174 149],C=CC(C)(C)OC[C@H]([NH]C(=O)/C(=C/CCN=C(N)N)[NH]C(=O)/C(C)=C\[NH]C(=O)[C@H]1[NH2]CC[C@@H]1C)C(O)=O
36,[185  28 154 144],CO/C(=C/C(O)=O)CC[NH]C(=O)c1cccc(O)c1[NH]C(=O)[C@@H](N)[C@H](C)C(=O)[NH]1CC[C@H](C)[C@H]1C(O)=O
37,[ 79  90 169  89],CC[C@H](C)[C@@H](N)[C@@H](O)CC(=O)[NH](C)[C@@H](C=C(C)C)C(=O)[NH][C@@H](CCCCN=C(N)N)C(=O)[NH](C)[C@@H](CC(C)C)C(O)=O
38,[ 95 154  59  74],CO[C@H](C)[C@H]([NH]C(=O)[C@@H](CO)[NH2]C(=N)N)C(=O)[NH]C[C@@H](O)C(=O)[NH][C@H](C(O)=O)[C@@H](O)C(=O)O
39,[163  78  39  45],C[C@H]1C[C@@H](C(O)=O)[NH](C(=O)[C@@H](CCS(C)=O)[NH](C)C(=O)[C@H](N)[C@H](O)CNC(=O)c2coc([C@H](C)N)n2)C1
40,[  9 166 184  73],C[NH2][C@@](NC(=O)c1ccc(OC)cc1[NH]C(=O)[C@H](Cc1ccoc1)[NH]C(=O)[C@H](N)CCCCN)(C(O)=O)C(C)C
41,[ 78 200 140   8],CCCCC[C@@H](N)[C@@H](C)C(=O)[NH]CCc1ccccc1C(=O)[NH]1NC[C@@H](O)C[C@H]1C(=O)N[C@@]1(C(O)=O)CCC[NH2]O1
42,[150  89  83   6],CC[C@H]([NH]C(=O)c1ccccc1N)[C@H](C)C(=O)[NH]1C(Br)=C(Br)C(Br)=C1C(=O)[NH]1NCCC[C@@H]1C(O)=O
43,[ 86 160 203 121],CCC[C@@H](N)[C@@H](C)C(=O)[NH](C)[C@@H](Cc1ccoc1)C(=O)[NH][C@H](C(=O)[NH]1C=C(Br)C=C1C(O)=O)[C@H](O)c1ccccc1
44,[ 37  73 206 166],CC[C@H]([NH]C(=O)[C@H](CO)[NH](C(=N)N)C(=O)[C@@H]1[C@@H](C)CC[NH]1C(=O)[C@H]([NH2]C)SC)[C@H](C)C(O)=O
45,[ 75  74 149 215],CC[NH2]CC(=O)[NH](C)[C@@H](CSC)C(=O)[NH]1C=C(Br)C=C1C(=O)[NH][C@@H](CC(C)C)C(=O)C(O)=O
46,[159 187  44  53],C=CC(C)(C)OC[C@H]([NH]C(=O)[C@@]1(N)CCC[NH2]O1)C(=O)[NH]CC/C(=C\C(=O)[NH][C@H](/C=C/C(O)=O)CO)OC
47,[205 112 146  92],CC(C)C[C@@H]([NH]C(=O)[C@H](N)CS)[C@@H](O)CC(=O)[NH](C)CC(=O)[NH][C@H](CO)C(O)=O
48,[167 197 204 110],CC[C@H](C)[C@H](N)c1nc(C(=O)[NH][C@H](C(=O)[NH][C@@H](CC(=O)N[C@]2(C(O)=O)CCC[NH2]O2)c2ccccc2)[C@@H](O)C(=O)O)c(C)o1
